term,month,Odds Ratio cellular vs telephone,CI Lower,CI Upper,OR_greater_1,CI_excludes_1
cellular vs telephone (mar),mar,1.7210270903715816,0.8917246594502051,3.321579384850768,True,False
cellular vs telephone (apr),apr,0.8165076408035737,0.5704740916165423,1.1686503160931379,False,False
cellular vs telephone (may),may,3.191014143715512,2.7339390071265632,3.724505645096513,True,True
cellular vs telephone (jun),jun,8.699609254944587,7.003149340986168,10.807023740844567,True,True
cellular vs telephone (jul),jul,1.8168239083252982,1.382985733521537,2.386755722676446,True,True
cellular vs telephone (aug),aug,0.8379237731719683,0.5655740990575144,1.2414222129633776,False,False
cellular vs telephone (sep),sep,3.113454154745205,1.7129122901763656,5.659132011191362,True,True
cellular vs telephone (oct),oct,0.7624024007518853,0.5083265725781584,1.1434724290020593,False,False
cellular vs telephone (nov),nov,0.7900694745692669,0.5738215775355192,1.0878116109314822,False,False
cellular vs telephone (dec),dec,1.5401717631206948,0.6399540372013209,3.7067178610017417,True,False
